,Shares,Cost(Euro/share),Profit(% post 2 years)
287,Share-Nu1gEV,910.8,5
288,Share-aTtXZ0,371.0,18
289,Share-JKKSgJ,653.0,14
290,Share-ohgHFf,53.6,14
291,Share-6Td8iN,11.1,5
292,Share-w5UiTF,201.8,2
293,Share-6iB5KB,12.1,1
294,Share-fhy0jb,306.2,16
295,Share-aXnlAl,311.9,17
296,Share-W84dMq,110.6,13
297,Share-SuCDvW,540.4,17
298,Share-eaFo8w,428.6,12
299,Share-1VadlI,24.0,12
300,Share-lcJSND,87.0,16
301,Share-0mXCRb,365.0,9
302,Share-WMlSI7,39.6,8
303,Share-XGmHa1,817.4,3
304,Share-12GZb3,913.6,19
305,Share-iU1agb,479.8,4
306,Share-h3mMIX,585.9,1
307,Share-W99drA,238.0,1
308,Share-J59kd9,227.5,2
309,Share-lf4GrS,445.3,5
310,Share-ekEr6X,488.1,4
311,Share-qlQEav,227.3,8
312,Share-ZNO5B0,775.6,2
313,Share-q1c5fE,26.6,19
314,Share-Rlt868,860.4,1
315,Share-XNNtAm,132.2,18
316,Share-rryT20,22.4,14
317,Share-7h0Cmg,564.7,10
318,Share-KOQ4ob,136.3,16
319,Share-CxldC4,137.5,5
320,Share-YJlUfo,627.1,12
321,Share-UoTf7B,381.2,16
322,Share-IpYf3G,227.1,7
323,Share-7kmmzH,361.6,4
324,Share-e1qciy,997.0,10
325,Share-WipKAL,59.3,19
326,Share-7fXSbJ,302.6,16
327,Share-rOcxGW,474.0,1
328,Share-V9Nits,385.0,16
329,Share-VQeK6J,750.4,16
330,Share-aQwqPd,308.4,5
331,Share-G9jLUb,240.1,19
332,Share-todXvh,349.3,2
333,Share-BlsPhs,62.4,6
334,Share-F8vt8I,695.8,10
335,Share-fV6vaV,872.1,6
336,Share-5vzFIo,31.3,8
337,Share-FM1n9o,3.8,6
338,Share-WwWjmb,972.9,19
339,Share-92A9Jk,350.6,6
340,Share-C5K1Mc,844.5,13
341,Share-dxQtmr,693.0,12
342,Share-q4KJqF,668.0,2
343,Share-H7eRxs,978.5,7
344,Share-UFOruc,692.4,5
345,Share-5pepr8,807.4,10
346,Share-4KyaPs,871.4,7
347,Share-Yhe0OT,887.4,17
348,Share-MILxSK,570.3,4
349,Share-nDdpFk,240.1,19
350,Share-yyDrgM,922.8,7
351,Share-966MQq,933.9,10
352,Share-ASjAcJ,200.9,13
353,Share-Xg8WT8,158.0,12
354,Share-2rUc8Y,353.6,18
355,Share-rH3790,18.4,12
356,Share-GBsuvt,127.9,11
357,Share-nM7yGF,863.9,5
358,Share-vQEmPs,98.8,16
359,Share-Nldtw8,375.8,1
360,Share-62DlEi,491.0,19
361,Share-mujIbK,933.6,18
362,Share-bC12WO,280.5,2
363,Share-UsUQJE,659.7,11
364,Share-m4EpAs,102.8,6
365,Share-Nz7i97,169.8,7
366,Share-98NWJd,62.7,18
367,Share-3KC2lH,779.3,9
368,Share-vnrgNN,519.0,3
369,Share-mOadmB,635.7,7
370,Share-Amsbrm,941.8,17
371,Share-zYLuFY,518.0,10
372,Share-H8PpGN,314.0,13
373,Share-u9zvu5,837.1,2
374,Share-rdrRir,869.5,3
375,Share-vtyrW3,831.5,10
376,Share-98fXdR,42.9,3
377,Share-D10EFr,647.4,8
378,Share-8FOjEf,407.0,14
379,Share-JFdB8Q,26.3,16
380,Share-bRzbUQ,81.7,9
381,Share-CRNlfD,920.1,7
382,Share-5T8KEn,604.1,11
383,Share-73dih9,96.9,2
384,Share-6D7vBm,893.1,2
385,Share-cvrNqO,403.4,16
386,Share-7vmr4Y,859.3,11
387,Share-ukyXo2,369.2,11
388,Share-DpiwEx,980.8,13
389,Share-p1oK7j,360.4,7
390,Share-gE7PdP,572.2,19
391,Share-vZAs8y,108.9,12
392,Share-dUw0li,864.9,16
393,Share-S0yjBp,18.5,6
394,Share-Kurj4t,85.8,3
395,Share-BbtV8i,263.6,10
396,Share-y9cEHP,340.7,10
397,Share-NQguq2,204.8,16
398,Share-C1IUmK,885.1,4
399,Share-URNrRM,151.6,7
400,Share-StLVZ8,713.3,13
401,Share-xpK6g9,198.3,18
402,Share-vvDg60,258.1,16
403,Share-oeLA46,212.8,4
404,Share-qDGKuN,149.8,9
405,Share-Qpp22t,376.7,16
406,Share-eBnuQ1,731.1,8
407,Share-Oe6xqP,290.5,3
408,Share-U7rUFC,2.7,8
409,Share-owOgIZ,771.6,5
410,Share-CIPpGO,23.0,15
411,Share-A2EQZS,470.9,9
412,Share-I8lKIe,283.5,13
413,Share-kbbTdq,350.3,19
414,Share-8Q0y90,848.4,15
415,Share-wD1sdq,909.3,6
416,Share-YUooo3,783.4,8
417,Share-9rE8nK,570.6,16
418,Share-wuumyS,684.1,4
419,Share-eJzDKS,811.7,19
420,Share-cFJPs6,360.6,14
421,Share-0getrS,613.5,12
422,Share-HFS9Ex,168.2,8
423,Share-wFEETs,74.5,13
424,Share-IwCUH0,916.9,19
425,Share-V5eKQv,193.8,2
426,Share-2fnD2G,316.7,8
427,Share-tXQSeW,435.7,6
428,Share-0GQDZ4,188.4,6
429,Share-TEoCEq,64.6,5
430,Share-MRjDVr,264.0,6
431,Share-uHqCZE,47.0,1
432,Share-JjyoS2,742.1,17
433,Share-Mw4a5R,853.5,4
434,Share-7L07u8,778.4,2
435,Share-NulqMQ,686.7,5
436,Share-4WPXIU,500.5,19
437,Share-O6o88q,999.1,17
438,Share-Sr9go1,925.0,13
439,Share-Ol58ue,991.7,9
440,Share-7PVCXf,26.8,10
441,Share-4PtNfQ,738.0,5
442,Share-WburRz,725.5,6
443,Share-U2VEZg,877.9,3
444,Share-VSjd0j,273.1,2
445,Share-F8hPvh,42.5,10
446,Share-gPp064,190.0,1
447,Share-FceEOu,201.1,2
448,Share-Dvpx4W,419.3,10
449,Share-E3x1HJ,227.3,10
450,Share-URAAsJ,580.0,4
451,Share-AhS2zN,104.4,1
452,Share-quDuVT,454.3,12
453,Share-Bzn5eI,507.2,13
454,Share-Hvmed4,449.5,2
455,Share-a8oJf9,447.1,6
456,Share-o9eXNf,531.1,5
457,Share-6gLpZb,694.1,11
458,Share-ZofvDi,269.7,13
459,Share-Y8zEtv,374.5,3
460,Share-wvc7QY,857.5,4
461,Share-ANqTom,718.1,6
462,Share-yzxeUB,561.1,8
463,Share-NZdYel,983.7,11
464,Share-lNhsd9,311.6,9
465,Share-TFV1MJ,136.4,8
466,Share-1X4uQW,338.5,9
467,Share-hGLKg5,799.7,6
468,Share-bbaiDw,687.5,8
469,Share-I8pMNi,945.8,14
470,Share-pp5rkR,537.0,15
471,Share-yjB2CC,897.7,10
472,Share-fLXYCI,38.3,18
473,Share-zAOjH8,553.2,10
474,Share-NONgUr,921.1,12
475,Share-euo6KT,827.0,7
476,Share-sjwsvG,568.2,19
477,Share-Bx6GFD,199.3,3
478,Share-AFlgcy,999.7,15
479,Share-0rHynx,70.2,6
480,Share-yocnJk,128.9,9
481,Share-BmLqww,238.9,7
482,Share-M9E3OT,425.0,10
483,Share-j3UCfm,220.2,2
484,Share-M6gqSk,813.8,18
485,Share-RuYS44,676.5,1
486,Share-4naCne,647.0,5
487,Share-2GlJvz,700.7,15
488,Share-DbTg5Q,838.2,7
489,Share-AyEeoQ,594.2,14
490,Share-QqKojD,375.6,19
491,Share-xuy8ez,89.9,1
492,Share-bNpCyY,235.7,9
493,Share-W3uiXQ,48.6,11
494,Share-3GojZ9,31.0,17
495,Share-KhJ0Jk,577.3,11
496,Share-4nnTgA,655.0,14
497,Share-pxv4mL,559.2,7
498,Share-ubnABP,790.2,10
499,Share-4iyY1I,627.6,19
500,Share-STaZwp,54.5,2
501,Share-gcbHLW,857.1,5
502,Share-5FjQPk,326.3,6
503,Share-7GcbCR,119.0,15
504,Share-q5km1v,564.5,1
505,Share-zouGPO,403.2,4
506,Share-QM77cA,188.8,4
507,Share-eTBuXl,32.7,15
508,Share-z5qzOx,914.2,11
509,Share-9YrDXt,414.4,6
510,Share-CNbzKd,708.6,17
511,Share-2A8PiL,655.9,14
512,Share-g8zoMb,807.0,13
513,Share-IOrjk8,864.6,5
514,Share-cqkGjW,348.8,6
515,Share-IQQo6o,755.3,10
516,Share-7hYqUC,412.0,3
517,Share-cEbQSv,186.6,7
518,Share-D2Jv0f,809.8,9
519,Share-KHPWm2,258.3,1
520,Share-IwVR9w,619.6,14
521,Share-g6OI68,742.8,10
522,Share-zWAWQq,784.5,6
523,Share-RlogmH,725.2,14
524,Share-zzza4P,627.2,3
525,Share-CPXeLT,288.9,16
526,Share-SOdbxe,185.6,7
527,Share-4e1cZ3,628.1,8
528,Share-C6XgVA,286.3,16
529,Share-MbkQEv,279.9,19
530,Share-iqhChH,978.9,3
531,Share-wmbca6,393.6,13
532,Share-TeoMGL,664.3,13
533,Share-zCGAXm,800.7,7
534,Share-r6npcQ,451.7,12
535,Share-ntEpVv,69.2,16
536,Share-Bv4w8N,713.1,15
537,Share-ODFNJL,769.1,1
538,Share-SC4EO8,663.2,7
539,Share-NEvJ1w,999.0,19
540,Share-IgyBEF,885.4,17
541,Share-CzI5hM,246.6,1
542,Share-0Jhrm8,975.0,18
543,Share-wBSL5D,704.8,17
544,Share-TluRwd,566.1,11
545,Share-qesFoa,249.7,6
546,Share-AzxzDx,441.2,3
547,Share-VfM0tU,855.0,18
548,Share-ce2ySA,280.1,17
549,Share-Szhqpc,169.8,8
550,Share-Wk74wH,438.2,4
551,Share-NBhk68,114.1,11
552,Share-45DS4b,511.6,3
553,Share-FFJUkq,118.5,19
554,Share-Z8DONb,663.9,5
555,Share-Yp1KrT,913.7,8
556,Share-ddLFBS,955.0,5
557,Share-sCqlsk,722.1,14
558,Share-OLCGvp,500.8,8
559,Share-IFxlzl,188.9,15
560,Share-wB9SQx,114.6,4
561,Share-xtYw7X,244.5,14
562,Share-ysvsTh,658.3,12
563,Share-FkuwSF,512.3,9
564,Share-QxGb8K,485.3,11
565,Share-w28USE,105.7,15
566,Share-P3pH3Y,588.4,10
567,Share-zqtwrU,723.5,18
568,Share-HeAVQL,787.8,4
569,Share-wy6SgT,841.5,10
570,Share-w4lrp1,313.5,7
571,Share-8qW7YN,307.1,18
572,Share-XRh80R,586.7,1
573,Share-YvovCn,729.2,8
574,Share-PeAMqm,723.0,18
575,Share-fonMek,532.2,9
576,Share-Ry5b2y,745.2,2
577,Share-wzBMkb,90.6,10
578,Share-A8I0Sw,789.2,3
579,Share-GMsoHj,503.9,5
580,Share-7BWmZ6,930.6,18
581,Share-yEdAa7,468.5,11
582,Share-zXlKZa,444.5,9
583,Share-6rJqYl,213.6,14
584,Share-o0LBUe,281.0,19
585,Share-iGGFWZ,507.1,4
586,Share-7S4Syr,294.5,17
587,Share-CiqqQz,724.2,8
588,Share-KvwNH5,733.1,13
589,Share-Dz1qVY,972.1,9
590,Share-t4ukAc,351.8,18
591,Share-OPO7YK,630.9,15
592,Share-xVkhWt,845.1,10
593,Share-HRhWx2,131.2,8
594,Share-W8hqGc,743.0,6
595,Share-sgD4lU,963.5,14
596,Share-HdFbO4,813.3,12
597,Share-2ZxVm7,943.7,8
598,Share-1Fpm0d,47.3,7
599,Share-UBsu9y,788.3,16
600,Share-gB1vss,57.5,3
601,Share-VkByFz,970.4,9
602,Share-Ua5XGG,214.9,14
603,Share-pV1wft,544.9,13
604,Share-WuGkMW,430.5,5
605,Share-JQGbdK,747.9,16
606,Share-FwshPN,888.7,10
607,Share-IZ8aLN,78.4,16
608,Share-Mjyktq,360.8,8
609,Share-Mp5SRZ,973.1,10
610,Share-a6edWh,73.5,16
611,Share-Z3uAV5,344.7,9
612,Share-3cgw4Q,65.4,8
613,Share-g1aExc,816.2,2
614,Share-h5RU0H,924.0,17
615,Share-prnNL2,213.8,3
616,Share-IlkKLT,634.8,15
617,Share-i2rSl0,722.6,18
618,Share-mQU4yk,767.5,16
619,Share-pk5CWx,648.3,5
620,Share-oXeTHb,947.0,2
621,Share-ONwxQe,549.5,8
622,Share-v1ZNQs,559.6,4
623,Share-FJhlCP,243.5,8
624,Share-nvtZQE,206.0,13
625,Share-gd2yct,938.8,16
626,Share-BMcAcg,726.9,7
627,Share-d2jKNt,184.0,12
628,Share-wujjyI,432.7,4
629,Share-NVR3PB,783.9,3
630,Share-mscF6a,539.1,16
631,Share-foWfEL,733.9,7
632,Share-sWemsG,845.3,14
633,Share-0Pt4fG,47.3,16
634,Share-D2nNGo,636.2,5
635,Share-msSecb,607.6,4
636,Share-g5SXsF,869.2,11
637,Share-0Kwrue,859.2,16
638,Share-AzPZO9,373.6,19
639,Share-0ADQlz,168.3,6
640,Share-IpiRlJ,568.8,1
641,Share-LETS8f,965.3,9
642,Share-XDCsRU,861.2,15
643,Share-8u5uRv,747.3,16
644,Share-aTRvoC,993.2,6
645,Share-kInmCZ,984.9,10
646,Share-RcyF34,475.0,13
647,Share-bLSOF4,470.9,1
648,Share-UhiwOg,795.0,4
649,Share-JPZwQC,575.1,10
650,Share-7Eq5aE,926.1,17
651,Share-wcmPT1,445.2,4
652,Share-plX6Q2,717.7,6
653,Share-MggR4D,84.0,12
654,Share-jdxEen,173.5,1
655,Share-iSz4jk,678.2,5
656,Share-mk11sP,87.5,6
657,Share-jNaanz,447.7,14
658,Share-msnsna,42.1,7
659,Share-jFv84d,909.7,3
660,Share-nrM8UN,986.0,18
661,Share-7VZew9,660.9,18
662,Share-8cpeoB,294.7,17
663,Share-mHgYif,955.8,6
664,Share-uXcpxU,398.3,7
665,Share-yYiarJ,71.7,17
666,Share-x5CFSY,107.3,13
667,Share-FecEXO,478.4,15
668,Share-yPv5U4,720.3,19
669,Share-oP1CWl,757.4,16
670,Share-bNG52V,358.7,3
671,Share-kIMwEd,665.0,17
672,Share-jIeysK,154.3,4
673,Share-ypPPrf,551.5,3
674,Share-2H7D7c,427.0,3
675,Share-tEa9wy,192.3,7
676,Share-iqetX6,243.8,14
677,Share-BerYgF,524.4,13
678,Share-WNKvMf,507.8,14
679,Share-nZeQ9a,873.2,1
680,Share-gEV6Kx,638.9,7
681,Share-3up47T,309.1,16
682,Share-SKZNuM,947.4,11
683,Share-khQanI,545.1,4
684,Share-78lhA4,824.8,17
685,Share-SXrcLm,616.3,7
686,Share-5xCoFq,804.0,15
687,Share-Rvzmhd,683.0,7
688,Share-DCsbG6,910.7,19
689,Share-nMaxRo,997.6,3
690,Share-HykyTA,214.1,7
691,Share-fJzpTf,439.8,6
692,Share-vy3Sjj,35.9,8
693,Share-HqPOPc,658.0,2
694,Share-uE5srn,992.4,10
695,Share-g0F7B1,23.6,9
696,Share-lMNiDi,839.8,12
697,Share-6um8ce,756.6,18
698,Share-OYh4Cz,374.7,2
699,Share-E0L7Ib,853.7,3
700,Share-yXXCJk,286.2,4
701,Share-5z7xLQ,984.1,8
702,Share-gt7R7V,507.1,12
703,Share-9w2BcZ,33.4,8
704,Share-ovuVRl,274.7,7
705,Share-A5m0Oe,894.5,9
706,Share-VJCq1i,323.6,7
707,Share-s4YWCH,772.7,7
708,Share-ozqbu9,429.8,12
709,Share-8AgH0T,299.1,10
710,Share-sreYD5,833.4,18
711,Share-9WCcf9,453.3,3
712,Share-2xLhsF,870.1,4
713,Share-iJLIzk,626.7,16
714,Share-ULfiqM,641.2,19
715,Share-Jkk8VZ,824.8,2
716,Share-tN9yIi,84.3,8
717,Share-W1tnFn,987.2,17
718,Share-bIF2Bm,739.7,4
719,Share-7sPvI2,633.9,1
720,Share-NtFZdc,269.0,14
721,Share-lxoyQI,299.8,10
722,Share-6uQ8Ey,602.9,16
723,Share-FSg6Vy,953.6,13
724,Share-ClobTm,667.2,14
725,Share-hQCTMO,967.5,5
726,Share-ClvGSG,826.5,5
727,Share-HFjEQy,755.7,2
728,Share-NHIaeV,504.3,4
729,Share-3O15Xx,497.3,14
730,Share-e97IHY,843.0,19
731,Share-QJZuDQ,550.2,5
732,Share-uAOZDb,271.5,1
733,Share-Q2WZck,445.7,12
734,Share-48gg8c,102.3,13
735,Share-icHGiM,227.4,18
736,Share-n2moHx,853.8,8
737,Share-odJnud,825.1,17
738,Share-fa14Ei,433.8,11
739,Share-kyAY6g,282.3,15
740,Share-SzqOde,981.8,6
741,Share-maY7qn,442.1,12
742,Share-Httmlj,232.1,15
743,Share-A47D9M,380.5,4
744,Share-EJb8Yv,507.2,18
745,Share-pFFsfE,575.2,1
746,Share-9BLRFp,521.7,6
747,Share-lw5NS9,649.7,14
748,Share-cLv8ER,601.5,2
749,Share-tWe1MF,271.0,1
750,Share-9CU5sL,752.6,19
751,Share-DZnCX8,182.8,8
752,Share-MYg4WC,579.1,1
753,Share-WDpIv3,199.7,17
754,Share-hjJZsa,895.5,16
755,Share-yCvUCW,912.0,18
756,Share-CPIeFt,681.2,17
757,Share-catEI2,24.1,13
758,Share-lLRcVo,248.1,15
759,Share-5K59qo,180.6,16
760,Share-pveUzA,941.7,2
761,Share-IgmoHB,299.5,19
762,Share-PfurqA,389.6,9
763,Share-PlQEdi,452.0,13
764,Share-t4rMSF,942.9,3
765,Share-CW9OSa,274.5,10
766,Share-k5GkhO,808.7,10
767,Share-9VeZoQ,473.1,13
768,Share-3b3C3G,194.5,2
769,Share-W7w97d,477.7,12
770,Share-iDZz8I,580.8,8
771,Share-rRJP6h,993.5,12
772,Share-eUUC74,224.0,2
773,Share-gLSb44,285.8,18
774,Share-zwDeCz,621.9,16
775,Share-Zu6Qph,323.7,4
776,Share-emnGcb,991.4,1
777,Share-YhvsA1,769.7,2
778,Share-w0Z91l,290.0,16
779,Share-XZoPwP,842.2,19
